analysis,eeg_type,model,rsa_rho,rsa_p,cca_corrs
image,cbramod,vit,-6.248546498589202e-06,0.9417440848093632,"[0.3986502111127179, 0.3928939270511194, 0.390018691984977, 0.3878719368120856, 0.38640047360323015]"
image,cbramod,clip,4.069625421071744e-05,0.6341096241472131,"[0.3571887890037603, 0.35541294540189283, 0.35338528483623766, 0.35119278178010876, 0.3485250950744626]"
image,cbramod,resnet,-4.0351865366663595e-05,0.6369818695559433,"[0.42750541092973354, 0.421648296985687, 0.4203201771195972, 0.41794074005788456, 0.4172359263861737]"
image,labram,vit,-3.224011341197901e-05,0.7061332280545267,"[0.319421688472876, 0.3123145835620097, 0.31094735064243345, 0.3100081432680931, 0.30888081089976266]"
image,labram,clip,1.3503953169694972e-05,0.8745109086971823,"[0.28071322495381784, 0.2796476177489086, 0.27403922550595017, 0.2709980686657214, 0.26937427294297234]"
image,labram,resnet,6.156677229968201e-05,0.4715032898352578,"[0.3479655717227751, 0.3454742559425647, 0.3418365814828251, 0.3431665718409649, 0.3393116474297428]"
image,ensemble,vit,-8.465601798555642e-06,0.9211328371726405,"[0.42168511458569446, 0.42083243074984206, 0.41819952939683586, 0.4160583739006074, 0.4134531751365364]"
image,ensemble,clip,-9.538642777351673e-05,0.264609392858633,"[0.38560029749996694, 0.38328450258935887, 0.38038272831235687, 0.3780565549658364, 0.3750182406821018]"
image,ensemble,resnet,-2.238168972649963e-05,0.7935078905548308,"[0.4519964752413567, 0.44819996914685256, 0.4497588137188596, 0.4442354311027483, 0.4438849308226255]"
text,cbramod,bert,-0.008861150444369586,0.7376867790595922,"[1.0, 1.0, 1.0, 1.0, 0.9999999999999998]"
text,cbramod,roberta,-0.015141048123023457,0.5671212275889191,"[0.9999999999999998, 1.0, 1.0, 0.9999999999999996, 1.0]"
text,labram,bert,-0.015475997129839228,0.5585758677218471,"[0.9999999999999998, 1.0, 0.9999999999999998, 0.9999999999999992, 1.0]"
text,labram,roberta,-0.0024804277623925565,0.9253084177999911,"[1.0, 0.9999999999999999, 0.9999999999999997, 1.0, 0.9999999999999997]"
text,ensemble,bert,0.061065328099163874,0.020879800165958837,"[1.0, 1.0, 1.0, 1.0, 0.9999999999999996]"
text,ensemble,roberta,0.045775784128266474,0.08344708692631476,"[1.0, 1.0, 0.9999999999999993, 0.9999999999999993, 0.9999999999999996]"
